operation,strategy,blockSize,fileSizeInBytes,durationInMs
WRITE,BlockByBlockWithBufferedStream,500,10485760,94
WRITE,BlockByBlockWithBufferedStream,50,10485760,109
WRITE,BlockByBlockWithBufferedStream,5,10485760,235
WRITE,BlockByBlockWithBufferedStream,0,10485760,406
WRITE,BlockByBlockWithoutBufferedStream,500,10485760,406
WRITE,BlockByBlockWithoutBufferedStream,50,10485760,2476
WRITE,BlockByBlockWithoutBufferedStream,5,10485760,21964
WRITE,BlockByBlockWithoutBufferedStream,0,10485760,94561
READ,BlockByBlockWithBufferedStream,500,10485760,53
READ,BlockByBlockWithBufferedStream,50,10485760,56
READ,BlockByBlockWithBufferedStream,5,10485760,101
READ,BlockByBlockWithBufferedStream,0,10485760,266
READ,BlockByBlockWithoutBufferedStream,500,10485760,169
READ,BlockByBlockWithoutBufferedStream,50,10485760,1538
READ,BlockByBlockWithoutBufferedStream,5,10485760,14807
READ,BlockByBlockWithoutBufferedStream,0,10485760,67764
